"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,5,1,41667,NA
1972,1,NA,5,1,18519,NA
1972,1,NA,5,5,33333,NA
1972,1,NA,5,1,NA,NA
1972,2,NA,5,0,33333,NA
1972,2,NA,5,0,50926,NA
1972,2,NA,5,5,33333,NA
1972,1,NA,5,2,33333,NA
1972,1,NA,5,0,69444,NA
1972,1,NA,5,2,69444,NA
1972,1,NA,5,5,60185,NA
1972,1,NA,5,0,33333,NA
1972,1,NA,5,0,18519,NA
1972,1,NA,5,0,3704,NA
1972,1,NA,5,6,41667,NA
1972,1,NA,8,5,50926,NA
1972,1,NA,8,1,50926,NA
1972,1,NA,8,3,NA,NA
1972,1,NA,8,4,50926,NA
1972,1,NA,8,3,33333,NA
1972,1,NA,8,2,33333,NA
1972,1,NA,8,0,41667,NA
1972,1,NA,8,3,41667,NA
1972,1,NA,8,3,50926,NA
1972,1,NA,9,5,3704,NA
1972,1,NA,9,0,41667,NA
1972,1,NA,9,3,33333,NA
1972,1,NA,9,0,25926,NA
1972,1,NA,9,6,3704,NA
1972,1,NA,9,2,11111,NA
1972,1,NA,9,0,18519,NA
1972,1,NA,1,5,50926,NA
1972,2,NA,1,0,101852,NA
1972,1,NA,1,1,69444,NA
1972,1,NA,1,6,50926,NA
1972,1,NA,1,3,NA,NA
1972,1,NA,1,3,11111,NA
1972,1,NA,1,4,NA,NA
1972,1,NA,1,4,33333,NA
1972,1,NA,1,NA,41667,NA
1972,1,NA,1,3,50926,NA
1972,1,NA,1,5,41667,NA
1972,1,NA,1,3,50926,NA
1972,1,NA,1,1,60185,NA
1972,1,NA,1,3,50926,NA
1972,1,NA,1,0,41667,NA
1972,1,NA,1,1,83333,NA
1972,1,NA,1,1,33333,NA
1972,1,NA,6,NA,18519,NA
1972,1,NA,6,1,33333,NA
1972,1,NA,6,3,11111,NA
1972,1,NA,6,5,18519,NA
1972,1,NA,6,7,3704,NA
1972,1,NA,6,7,3704,NA
1972,1,NA,6,5,3704,NA
1972,1,NA,2,2,NA,NA
1972,1,NA,2,3,41667,NA
1972,1,NA,2,1,11111,NA
1972,1,NA,2,6,18519,NA
1972,1,NA,2,1,41667,NA
1972,1,NA,2,1,25926,NA
1972,1,NA,2,2,NA,NA
1972,1,NA,2,0,60185,NA
1972,1,NA,2,1,50926,NA
1972,1,NA,3,6,41667,NA
1972,1,NA,3,5,50926,NA
1972,1,NA,3,4,25926,NA
1972,1,NA,3,5,18519,NA
